sbe	entry- index	start	end	full- src	full- tr	SND- Filename
1008AN.SBE	4	360	449	First you kept me waiting, now you don't answer me.	처음엔 나를 기다리게 하더니, 이제는 대답도 없군요.	1008AN.SND
1008AN.SBE	5	463	533	I have kept my half of the bargain.	저는 제 몫의 약속은 지켰습니다.	1008AN.SND
1008AN.SBE	6	534	622	If something has gone wrong, I would like to know it!	문제가 생겼다면, 내가 알아야겠습니다!	1008AN.SND
1008AN.SBE	7	623	676	Nothing has gone wrong.	아무 문제 없습니다.	1008AN.SND
1008AN.SBE	8	677	854	I'm glad. I trust that you will not mind if I ask to see the gold?	다행이군요. 금을 보여 달라고 해도 괜찮겠지요?	1008AN.SND
1008AN.SBE	9	855	963	I trust you won't mind either if I ask to see what I'm buying?	그럼 내가 사는 물건을 보여 달라고 해도 괜찮겠지요?	1008AN.SND
1008AN.SBE	10	964	1053	To see it? But you know that is impossible!	보여 달라고요? 그건 불가능하다는 걸 당신도 알잖습니까!	1008AN.SND
1008AN.SBE	11	1054	1160	The merchandise will be put on the train at Munich.	물건은 뮌헨에서 열차에 실릴 겁니다.	1008AN.SND
1008AN.SBE	12	1161	1205	It is what we agreed!	그게 우리가 합의한 내용이오!	1008AN.SND
1008AN.SBE	13	1206	1260	Good. Then we're even.	좋습니다. 그럼 서로 조건은 맞는 셈이군요.	1008AN.SND
1008AN.SBE	14	1261	1324	Herr Schmidt, it's been a pleasure.	헤어 슈미트, 즐거웠습니다.	1008AN.SND
1008AN.SBE	15	1325	1399	We'll talk again after Munich.	뮌헨을 지난 뒤에 다시 이야기하죠.	1008AN.SND
1008N.SBE	0	1	45	Herr Whitney.	헤어 휘트니.	1008N.SND
1008N.SBE	1	60	105	I was beginning to wonder	슬슬 궁금해지더군요.	1008N.SND
1008N.SBE	2	106	240	if I would ever have the pleasure of making your acquaintance.	과연 당신과 인사를 나눌 기회가 있긴 할지요.	1008N.SND
1008N.SBE	3	300	330	Have you brought the gold?	금은 가져오셨습니까?	1008N.SND
1008N.SBE	4	390	480	First you kept me waiting, now you don't answer me.	처음엔 절 기다리게 하더니, 이젠 대답도 안 하는군요.	1008N.SND
1008N.SBE	5	490	570	I have kept my half of the bargain.	저는 제 몫의 약속은 지켰습니다.	1008N.SND
1008N.SBE	6	571	660	If something has gone wrong, I would like to know it!	문제가 생겼다면, 제가 알아야겠습니다!	1008N.SND
1008N.SBE	7	661	700	Nothing has gone wrong.	아무 문제 없습니다.	1008N.SND
1008N.SBE	8	710	885	I'm glad. I trust that you will not mind if I ask to see the gold?	다행이군요. 그럼 금을 보여 달라고 해도 괜찮겠지요?	1008N.SND
1008N.SBE	9	890	1000	I trust you won't mind either if I ask to see what I'm buying?	그럼 제가 사는 물건을 보여 달라고 해도 괜찮겠지요?	1008N.SND
1008N.SBE	10	1001	1080	To see it? But you know that is impossible!	보여 달라고요? 그건 불가능하다는 걸 당신도 알잖습니까!	1008N.SND
1008N.SBE	11	1081	1200	The merchandise will be put on the train at Munich.	물건은 뮌헨에서 열차에 실릴 겁니다.	1008N.SND
1008N.SBE	12	1201	1245	It is what we agreed!	그게 우리가 합의한 내용이오!	1008N.SND
1008N.SBE	13	1246	1305	Good. Then we're even.	좋습니다. 그럼 서로 조건은 맞는 셈이군요.	1008N.SND
1008N.SBE	14	1320	1360	Herr Schmidt, it's been a pleasure.	헤어 슈미트, 즐거웠습니다.	1008N.SND
1008N.SBE	15	1361	1430	We'll talk again after Munich.	뮌헨을 지난 뒤에 다시 이야기하죠.	1008N.SND
1011.SBE	0	1	60	And you were with an English woman.	그리고 당신, 영국 여자와 함께 계시더군요.	1011.SND
1011.SBE	1	75	125	Was she a wife?	부인이었나요?	1011.SND
1011.SBE	2	125	240	Um... yes... um, that is... Ah!	음... 예... 그게... 아!	1011.SND
1011.SBE	3	241	417	Miss Wolff, may I present my colleague from America mister Tyler Whitney?	미스 볼프, 미국에서 온 제 동료 미스터 타일러 휘트니를 소개해도 되겠습니까?	1011.SND
1011.SBE	4	435	515	Herr Whitney, miss Anna Wolff.	헤어 휘트니, 미스 안나 볼프입니다.	1011.SND
1011.SBE	5	516	616	I... I'm sorry, I didn't catch the name.	죄송해요... 이름을 잘 못 들었어요.	1011.SND
1011.SBE	6	617	699	Tyler Whitney. Have we met before?	타일러 휘트니입니다. 우리 전에 만난 적 있나요?	1011.SND
1011.SBE	7	719	839	I seem to remember hearing of a mister Whitney years ago in New-York.	몇 년 전 뉴욕에서 미스터 휘트니 이야기를 들은 기억이 나네요.	1011.SND
1011.SBE	8	840	965	You were trying to raise money to start a revolution in Cuba, isn't that right?	쿠바에서 혁명을 일으키려고 자금을 모으고 계셨죠, 맞나요?	1011.SND
1011.SBE	9	966	1086	Mexica. And it wasn't me. It must have been some place else that we've met.	멕시코요. 그리고 그건 제가 아니었습니다. 우린 다른 데서 만난 모양이군요.	1011.SND
1011.SBE	10	1104	1224	Herr Whitney is well known as a champion of redeem injustice...	헤어 휘트니는 정의를 위해 싸우는 인물로 잘 알려져 있지요...	1011.SND
1011.SBE	11	1225	1289	in countries other than his own.	자기 조국이 아닌 나라들에서까지요.	1011.SND
1011.SBE	12	1306	1412	But please, don't let us interrupt your dinner.	하지만 저희 때문에 식사를 방해받진 마십시오.	1011.SND
1011.SBE	13	1413	1490	Not at all. You're both very kind.	전혀요. 두 분 모두 정말 친절하시네요.	1011.SND
1011.SBE	14	1491	1579	One does get so bored on these long journeys.	이런 긴 여행에서는 정말 지루해지기 마련이죠.	1011.SND
1011.SBE	15	1580	1610	Good evening.	그럼 안녕히.	1011.SND
1011.SBE	16	1667	1703	A beautiful woman.	아름다운 여성이군.	1011.SND
1011.SBE	17	1704	1728	Is she?	그런가요?	1011.SND
1011.SBE	18	1729	1779	And a brilliant performer.	연주 실력도 뛰어나고요.	1011.SND
1011.SBE	19	1796	1914	To look at her... you would never think she was Jewish.	저 모습을 보면... 유대인이라고는 생각도 못 하겠군요.	1011.SND
1011.SBE	20	1915	1950	Until Munich, sir.	뮌헨에서 뵙지요, 선생.	1011.SND
1011A.SBE	0	1	30	Pardon me.	실례합니다.	1011A.SND
1011A.SBE	1	31	120	I couldn't help hearing you introduced yourself as August Schmidt.	방금 아우구스트 슈미트라고 소개하시는 걸 우연히 들었습니다.	1011A.SND
1011A.SBE	2	121	165	I believe we had a dinner engagement.	우리 저녁 약속이 있었던 걸로 압니다.	1011A.SND
1011A.SBE	3	166	240	Ah, the elusive herr Whitney.	아, 좀처럼 모습을 드러내지 않는 헤어 휘트니군요.	1011A.SND
1011A.SBE	4	255	330	We had a deed over an hour ago.	우린 한 시간도 더 전에 약속이 있었소.	1011A.SND
1011A.SBE	5	345	435	I... I'm sorry, I didn't catch the name.	죄송해요... 이름을 잘 못 들었어요.	1011A.SND
1011A.SBE	6	436	510	Tyler Whitney. Have we met before?	타일러 휘트니입니다. 우리 전에 만난 적 있나요?	1011A.SND
1011A.SBE	7	525	645	I seem to remember hearing of a mister Whitney years ago in New-York.	몇 년 전 뉴욕에서 미스터 휘트니 이야기를 들은 기억이 나네요.	1011A.SND
1011A.SBE	8	646	765	You were trying to raise money to start a revolution in Cuba, isn't that right?	쿠바에서 혁명을 일으키려고 자금을 모으고 계셨죠, 맞나요?	1011A.SND
1011A.SBE	9	766	870	Mexica. And it wasn't me. It must have been some place else that we've met.	멕시코요. 그리고 그건 제가 아니었습니다. 우린 다른 데서 만난 모양이군요.	1011A.SND
1011A.SBE	10	885	1000	Herr Whitney is well known as a champion of redeem injustice...	헤어 휘트니는 정의를 위해 싸우는 인물로 잘 알려져 있지요...	1011A.SND
1011A.SBE	11	1001	1065	in countries other than his own.	자기 조국이 아닌 나라들에서까지요.	1011A.SND
1011A.SBE	12	1080	1170	But please, don't let us interrupt your dinner.	하지만 저희 때문에 식사를 방해받진 마십시오.	1011A.SND
1011A.SBE	13	1171	1230	Not at all. You're both very kind.	전혀요. 두 분 모두 정말 친절하시네요.	1011A.SND
1011A.SBE	14	1260	1335	One does get so bored on these long journeys.	이런 긴 여행에서는 정말 지루해지기 마련이죠.	1011A.SND
1011A.SBE	15	1350	1380	Good evening.	그럼 안녕히.	1011A.SND
1011A.SBE	16	1425	1440	Herr Whitney.	헤어 휘트니.	1011A.SND
1011A.SBE	17	1441	1530	I will come to your compartment in 5 minutes.	5분 뒤 당신 객실로 가겠습니다.	1011A.SND
1012.SBE	0	1	75	Are you reading about madame Caillaux?	카이요 부인 기사 읽고 계십니까?	1012.SND
1012.SBE	1	76	140	I don't believe we've been introduced.	우리 정식으로 인사한 적은 없는 것 같군요.	1012.SND
1012.SBE	2	141	195	We haven't. I'm Tyler Whitney.	맞습니다. 전 타일러 휘트니입니다.	1012.SND
1012.SBE	3	196	270	I know. Herr Schmidt told me who you were.	알고 있어요. 헤어 슈미트에게 당신 얘길 들었거든요.	1012.SND
1012.SBE	4	271	375	If you'll excuse me, I'd like to finish my magazine.	실례가 아니라면 잡지를 마저 읽고 싶군요.	1012.SND
1012.SBE	5	400	460	You still haven't told me your name.	아직 이름을 안 알려주셨군요.	1012.SND
1013.SBE	0	1	60	Are you reading about madame Caillaux?	카이요 부인 기사 읽고 계십니까?	1013.SND
1013.SBE	1	90	120	Have you read it?	읽어 보셨나요?	1013.SND
1013.SBE	2	121	150	Just a guess.	그냥 짐작이었어요.	1013.SND
1013.SBE	3	165	270	It's either that or Rasputin, they don't seem to write about anything else.	그 얘기 아니면 라스푸틴 얘기죠. 다른 건 쓰지도 않는 것 같아요.	1013.SND
1013.SBE	4	271	330	Don't you care about Rasputin?	라스푸틴 얘기는 관심 없으세요?	1013.SND
1013.SBE	5	331	390	Sure I do. I like him.	물론 있죠. 난 그 사람이 좋아요.	1013.SND
1013.SBE	6	391	480	Just when you think he's dead he pops back up again.	죽었다 싶으면 또 불쑥 살아나잖아요.	1013.SND
1013.SBE	7	510	540	Good night, miss Wolff.	안녕히 주무세요, 미스 볼프.	1013.SND
1017.SBE	0	39	133	I saw your light. I thought you might be having trouble sleeping?	불이 켜져 있길래요. 잠을 못 이루시나 싶어서요.	1017.SND
1017.SBE	1	133	237	I had a bad nightmare. It woke me up.	악몽을 꿨어요. 그 때문에 깼어요.	1017.SND
1017.SBE	2	237	267	Can I come in?	들어가도 될까요?	1017.SND
1017.SBE	3	285	313	Why not?	왜 안 되죠?	1017.SND
1017.SBE	4	457	514	Make yourself comfortable.	편하게 있으세요.	1017.SND
1017.SBE	5	514	579	I'm sorry the place is a mess.	방이 좀 어질러져서 미안해요.	1017.SND
1017.SBE	6	589	686	Do you... always carry a gun on your concert tours?	공연 투어 다닐 때도... 항상 총을 가지고 다니나요?	1017.SND
1017.SBE	7	686	756	A woman travelling alone has to be careful.	여자가 혼자 여행하면 조심해야 하니까요.	1017.SND
1017.SBE	8	756	819	I would have thought Max was enough protection.	맥스만으로도 충분한 경호가 될 줄 알았습니다.	1017.SND
1017.SBE	9	819	908	You are not Tyler Whitney. Who are you?	당신, 타일러 휘트니가 아니군요. 누구죠?	1017.SND
1017.SBE	10	908	953	My name is Robert Cath.	제 이름은 로버트 캐스입니다.	1017.SND
1017.SBE	11	953	993	What do you want?	원하는 게 뭐죠?	1017.SND
1017.SBE	12	993	1051	Tyler Whitney was a friend of mine.	타일러 휘트니는 제 친구였습니다.	1017.SND
1017.SBE	13	1051	1099	What's that supposed to mean?	그게 무슨 뜻이죠?	1017.SND
1019.SBE	0	1	225	- Good night, miss Wolff. - Good night, mister Whitney.	- 안녕히 주무세요, 미스 볼프. - 안녕히 주무십시오, 미스터 휘트니.	1019.SND
1019D.SBE	0	1	225	- Good night, miss Wolff. - Good night, mister Whitney.	- 안녕히 주무세요, 미스 볼프. - 안녕히 주무십시오, 미스터 휘트니.	1019D.SND
1020.SBE	0	19	53	Good morning, herr Schmidt.	좋은 아침입니다, 헤어 슈미트.	1020.SND
1020.SBE	1	54	117	I hope all that shouting didn't wake you up last night.	어젯밤 그 고성 때문에 잠을 깨신 건 아니길 바랍니다.	1020.SND
1020.SBE	2	118	171	Shouting? What shouting?	고성이라니요? 무슨 고성을 말하는 거요?	1020.SND
1020.SBE	3	172	205	Guess not.	아닌가 보군요.	1020.SND
1022.SBE	0	1	30	Ah, herr Whitney.	아, 헤어 휘트니.	1022.SND
1022.SBE	1	31	135	The merchandise has been loaded onto the train.	물건은 이미 열차에 실렸소.	1022.SND
1022.SBE	2	136	210	I have fulfilled my part of the bargain.	나는 거래에서 내 몫을 다했소.	1022.SND
1022.SBE	3	211	270	I want to see the gold!	금을 봐야겠소!	1022.SND
1022.SBE	4	271	345	Our agreement included delivery of the arms in Belgrade.	우리 합의에는 베오그라드에서 무기를 인도한다는 조건이 있었소.	1022.SND
1022.SBE	5	346	390	We're not in Belgrade yet.	아직 베오그라드가 아니오.	1022.SND
1022.SBE	6	391	480	Herr Whitney. Since I boarded this train,	헤어 휘트니, 내가 이 열차에 오른 뒤로	1022.SND
1022.SBE	7	481	570	I have begun to feel that things are not as they should be.	일이 돌아가는 모양이 영 심상치 않다는 느낌이 들기 시작했소.	1022.SND
1022.SBE	8	571	690	If you cannot reassure me, I intend to get off in Vienna	당신이 날 안심시키지 못하면, 나는 빈에서 내릴 생각이오	1022.SND
1022.SBE	9	691	720	and take my merchandise with me!	그리고 내 물건도 가지고 내리겠소!	1022.SND
1022.SBE	10	735	765	Good day!	그럼 이만!	1022.SND
1022A.SBE	0	1	90	Herr Schmidt, can we talk?	헤어 슈미트, 잠깐 얘기할 수 있을까요?	1022A.SND
1022A.SBE	1	91	210	Unless you can show me the gold, there is nothing to talk about!	금을 보여줄 수 없다면 더 할 말은 없소!	1022A.SND
1022A.SBE	2	211	240	Good day.	좋은 하루 되세요.	1022A.SND
1022AD.SBE	0	1	90	Herr Schmidt, can we talk?	헤어 슈미트, 잠깐 얘기할 수 있을까요?	1022AD.SND
1022AD.SBE	1	91	210	Unless you can show me the gold, there is nothing to talk about!	금을 보여줄 수 없다면 더 할 말은 없소!	1022AD.SND
1022AD.SBE	2	211	240	Good day.	좋은 하루 되세요.	1022AD.SND
1022B.SBE	0	60	120	Herr Schmidt, can we talk?	헤어 슈미트, 잠깐 얘기할 수 있을까요?	1022B.SND
1022B.SBE	1	121	240	Unless you can show me the gold, there is nothing to talk about!	금을 보여줄 수 없다면 더 할 말은 없소!	1022B.SND
1022B.SBE	2	241	270	Good day.	좋은 하루 되세요.	1022B.SND
1022C.SBE	0	60	120	Herr Schmidt, can we talk?	헤어 슈미트, 잠깐 얘기할 수 있을까요?	1022C.SND
1022C.SBE	1	121	240	Unless you can show me the gold, there is nothing to talk about!	금을 보여줄 수 없다면 더 할 말은 없소!	1022C.SND
1022C.SBE	2	241	270	Good day.	좋은 하루 되세요.	1022C.SND
1023.SBE	0	1	60	Herr Schmidt, are you having a lunch alone?	헤어 슈미트, 점심을 혼자 드십니까?	1023.SND
1023.SBE	1	61	150	As a matter of fact, I'm waiting for a lady.	사실은 숙녀 한 분을 기다리는 중이오.	1023.SND
1023.SBE	2	180	210	Have a nice wait.	그럼 즐겁게 기다리시죠.	1023.SND
1025.SBE	0	390	525	Fraulein Wolff, it is a privilege to meet so talented an artist.	프로일라인 볼프, 이토록 재능 있는 예술가를 뵙게 되어 영광입니다.	1025.SND
1025.SBE	1	526	600	My name is Kronos.	제 이름은 크로노스입니다.	1025.SND
1025.SBE	2	601	690	Your excellency, you do me a great honor.	각하, 큰 영광입니다.	1025.SND
1025.SBE	3	930	1020	My car is equipped with a piano.	제 객차에는 피아노가 갖춰져 있습니다.	1025.SND
1025.SBE	4	1021	1140	I wonder if you would do me the favor of joining me in a duet.	저와 이중주를 해주시는 영광을 베풀어 주실 수 있을까요?	1025.SND
1025.SBE	5	1141	1230	It will help pass the time on this rather long journey.	이 긴 여정의 시간을 보내는 데 좋을 겁니다.	1025.SND
1025.SBE	6	1231	1300	What a splendid idea!	정말 멋진 생각이군요!	1025.SND
1025.SBE	7	1410	1500	Shall we say... 3 o'clock?	그럼... 3시로 할까요?	1025.SND
1025.SBE	8	1501	1590	I shall count the minutes until then.	그때까지 분을 세며 기다리겠습니다.	1025.SND
1025.SBE	9	1620	1650	Good day.	좋은 하루 되세요.	1025.SND
1028.SBE	0	45	75	What are you doing here?	여기서 뭐 하는 거죠?	1028.SND
1028.SBE	1	76	120	Searching your compartment.	당신 객실을 수색 중입니다.	1028.SND
1028.SBE	2	135	180	What did you expect to find?	뭘 찾을 생각이었죠?	1028.SND
1028.SBE	3	181	255	Something that used to belong to a friend of mine.	한때 제 친구의 것이었던 물건이요.	1028.SND
1028.SBE	4	256	285	Get out.	나가요.	1028.SND
1028.SBE	5	390	540	By the way, you play beautifully. Too bad you didn't stick to music.	그런데 연주는 정말 훌륭하더군요. 음악만 계속했으면 좋았을 텐데요.	1028.SND
1030.SBE	0	69	121	Have you brought the gold?	금은 가져오셨습니까?	1030.SND
1030.SBE	1	121	153	I brought this.	이걸 가져왔소.	1030.SND
1030.SBE	2	153	186	What is this?	이게 뭐죠?	1030.SND
1030.SBE	3	186	237	Something more precious than gold.	금보다 더 귀한 것이오.	1030.SND
1030.SBE	4	237	328	Herr Whitney, I am not a Jewish pawnbroker.	헤어 휘트니, 나는 유대인 전당포 주인이 아니오.	1030.SND
1030.SBE	5	328	404	Our terms of payment were precise.	지불 조건은 분명했소.	1030.SND
1030.SBE	6	404	540	If you cannot fulfill them, I shall consider our agreement broken	그걸 이행하지 못한다면, 우리 합의는 깨진 것으로 보겠소	1030.SND
