sbe	entry-index	full-tr
1011.SBE	0	그리고 당신, 영국 여자와 함께 계시더군요.
1011.SBE	1	부인이었나요?
1011.SBE	2	음... 예... 그게... 아!
1011.SBE	3	미스 볼프, 미국에서 온 제 동료 미스터 타일러 휘트니를 소개해도 되겠습니까?
1011.SBE	4	헤어 휘트니, 미스 안나 볼프입니다.
1011.SBE	5	죄송해요... 이름을 잘 못 들었어요.
1011.SBE	6	타일러 휘트니입니다. 우리 전에 만난 적 있나요?
1011.SBE	7	몇 년 전 뉴욕에서 미스터 휘트니 이야기를 들은 기억이 나네요.
1011.SBE	8	쿠바에서 혁명을 일으키려고 자금을 모으고 계셨죠, 맞나요?
1011.SBE	9	멕시코요. 그리고 그건 제가 아니었습니다. 우린 다른 데서 만난 모양이군요.
1011.SBE	10	헤어 휘트니는 정의를 위해 싸우는 인물로 잘 알려져 있지요...
1011.SBE	11	자기 조국이 아닌 나라들에서까지요.
1011.SBE	12	하지만 저희 때문에 식사를 방해받진 마십시오.
1011.SBE	13	전혀요. 두 분 모두 정말 친절하시네요.
1011.SBE	14	이런 긴 여행에서는 정말 지루해지기 마련이죠.
1011.SBE	15	그럼 안녕히.
1011.SBE	16	아름다운 여성이군.
1011.SBE	17	그런가요?
1011.SBE	18	연주 실력도 뛰어나고요.
1011.SBE	19	저 모습을 보면... 유대인이라고는 생각도 못 하겠군요.
1011.SBE	20	뮌헨에서 뵙지요, 선생.
1011A.SBE	0	실례합니다.
1011A.SBE	1	방금 아우구스트 슈미트라고 소개하시는 걸 우연히 들었습니다.
1011A.SBE	2	우리 저녁 약속이 있었던 걸로 압니다.
1011A.SBE	3	아, 좀처럼 모습을 드러내지 않는 헤어 휘트니군요.
1011A.SBE	4	우린 한 시간도 더 전에 약속이 있었소.
1011A.SBE	5	죄송해요... 이름을 잘 못 들었어요.
1011A.SBE	6	타일러 휘트니입니다. 우리 전에 만난 적 있나요?
1011A.SBE	7	몇 년 전 뉴욕에서 미스터 휘트니 이야기를 들은 기억이 나네요.
1011A.SBE	8	쿠바에서 혁명을 일으키려고 자금을 모으고 계셨죠, 맞나요?
1011A.SBE	9	멕시코요. 그리고 그건 제가 아니었습니다. 우린 다른 데서 만난 모양이군요.
1011A.SBE	10	헤어 휘트니는 정의를 위해 싸우는 인물로 잘 알려져 있지요...
1011A.SBE	11	자기 조국이 아닌 나라들에서까지요.
1011A.SBE	12	하지만 저희 때문에 식사를 방해받진 마십시오.
1011A.SBE	13	전혀요. 두 분 모두 정말 친절하시네요.
1011A.SBE	14	이런 긴 여행에서는 정말 지루해지기 마련이죠.
1011A.SBE	15	그럼 안녕히.
1011A.SBE	16	헤어 휘트니.
1011A.SBE	17	5분 뒤 당신 객실로 가겠습니다.
1012.SBE	0	카이요 부인 기사 읽고 계십니까?
1012.SBE	1	우리 정식으로 인사한 적은 없는 것 같군요.
1012.SBE	2	맞습니다. 전 타일러 휘트니입니다.
1012.SBE	3	알고 있어요. 헤어 슈미트에게 당신 얘길 들었거든요.
1012.SBE	4	실례가 아니라면 잡지를 마저 읽고 싶군요.
1012.SBE	5	아직 이름을 안 알려주셨군요.
1013.SBE	0	카이요 부인 기사 읽고 계십니까?
1013.SBE	1	읽어 보셨나요?
1013.SBE	2	그냥 짐작이었어요.
1013.SBE	3	그 얘기 아니면 라스푸틴 얘기죠. 다른 건 쓰지도 않는 것 같아요.
1013.SBE	4	라스푸틴 얘기는 관심 없으세요?
1013.SBE	5	물론 있죠. 난 그 사람이 좋아요.
1013.SBE	6	죽었다 싶으면 또 불쑥 살아나잖아요.
1013.SBE	7	안녕히 주무세요, 미스 볼프.
1017.SBE	0	불이 켜져 있길래요. 잠을 못 이루시나 싶어서요.
1017.SBE	1	악몽을 꿨어요. 그 때문에 깼어요.
1017.SBE	2	들어가도 될까요?
1017.SBE	3	왜 안 되죠?
1017.SBE	4	편하게 있으세요.
1017.SBE	5	방이 좀 어질러져서 미안해요.
1017.SBE	6	공연 투어 다닐 때도... 항상 총을 가지고 다니나요?
1017.SBE	7	여자가 혼자 여행하면 조심해야 하니까요.
1017.SBE	8	맥스만으로도 충분한 경호가 될 줄 알았습니다.
1017.SBE	9	당신, 타일러 휘트니가 아니군요. 누구죠?
1017.SBE	10	제 이름은 로버트 캐스입니다.
1017.SBE	11	원하는 게 뭐죠?
1017.SBE	12	타일러 휘트니는 제 친구였습니다.
1017.SBE	13	그게 무슨 뜻이죠?
1019.SBE	0	- 안녕히 주무세요, 미스 볼프. - 안녕히 주무십시오, 미스터 휘트니.
1019D.SBE	0	- 안녕히 주무세요, 미스 볼프. - 안녕히 주무십시오, 미스터 휘트니.
1020.SBE	0	좋은 아침입니다, 헤어 슈미트.
1020.SBE	1	어젯밤 그 고성 때문에 잠을 깨신 건 아니길 바랍니다.
1020.SBE	2	고성이라니요? 무슨 고성을 말하는 거요?
1020.SBE	3	아닌가 보군요.
1022.SBE	0	아, 헤어 휘트니.
1022.SBE	1	물건은 이미 열차에 실렸소.
1022.SBE	2	나는 거래에서 내 몫을 다했소.
1022.SBE	3	금을 봐야겠소!
1022.SBE	4	우리 합의에는 베오그라드에서 무기를 인도한다는 조건이 있었소.
1022.SBE	5	아직 베오그라드가 아니오.
1022.SBE	6	헤어 휘트니, 내가 이 열차에 오른 뒤로
1022.SBE	7	일이 돌아가는 모양이 영 심상치 않다는 느낌이 들기 시작했소.
1022.SBE	8	당신이 날 안심시키지 못하면, 나는 빈에서 내릴 생각이오
1022.SBE	9	그리고 내 물건도 가지고 내리겠소!
1022.SBE	10	그럼 이만!
1022A.SBE	0	헤어 슈미트, 잠깐 얘기할 수 있을까요?
1022A.SBE	1	금을 보여줄 수 없다면 더 할 말은 없소!
1022A.SBE	2	좋은 하루 되세요.
1022AD.SBE	0	헤어 슈미트, 잠깐 얘기할 수 있을까요?
1022AD.SBE	1	금을 보여줄 수 없다면 더 할 말은 없소!
1022AD.SBE	2	좋은 하루 되세요.
1022B.SBE	0	헤어 슈미트, 잠깐 얘기할 수 있을까요?
1022B.SBE	1	금을 보여줄 수 없다면 더 할 말은 없소!
1022B.SBE	2	좋은 하루 되세요.
1022C.SBE	0	헤어 슈미트, 잠깐 얘기할 수 있을까요?
1022C.SBE	1	금을 보여줄 수 없다면 더 할 말은 없소!
1022C.SBE	2	좋은 하루 되세요.
1023.SBE	0	헤어 슈미트, 점심을 혼자 드십니까?
1023.SBE	1	사실은 숙녀 한 분을 기다리는 중이오.
1023.SBE	2	그럼 즐겁게 기다리시죠.
1025.SBE	0	프로일라인 볼프, 이토록 재능 있는 예술가를 뵙게 되어 영광입니다.
1025.SBE	1	제 이름은 크로노스입니다.
1025.SBE	2	각하, 큰 영광입니다.
1025.SBE	3	제 객차에는 피아노가 갖춰져 있습니다.
1025.SBE	4	저와 이중주를 해주시는 영광을 베풀어 주실 수 있을까요?
1025.SBE	5	이 긴 여정의 시간을 보내는 데 좋을 겁니다.
1025.SBE	6	정말 멋진 생각이군요!
1025.SBE	7	그럼... 3시로 할까요?
1025.SBE	8	그때까지 분을 세며 기다리겠습니다.
1025.SBE	9	좋은 하루 되세요.
1028.SBE	0	여기서 뭐 하는 거죠?
1028.SBE	1	당신 객실을 수색 중입니다.
1028.SBE	2	뭘 찾을 생각이었죠?
1028.SBE	3	한때 제 친구의 것이었던 물건이요.
1028.SBE	4	나가요.
1028.SBE	5	그런데 연주는 정말 훌륭하더군요. 음악만 계속했으면 좋았을 텐데요.
1030.SBE	0	금은 가져오셨습니까?
1030.SBE	1	이걸 가져왔소.
1030.SBE	2	이게 뭐죠?
1030.SBE	3	금보다 더 귀한 것이오.
1030.SBE	4	헤어 휘트니, 나는 유대인 전당포 주인이 아니오.
1030.SBE	5	지불 조건은 분명했소.
1030.SBE	6	그걸 이행하지 못한다면, 우리 합의는 깨진 것으로 보겠소
1030.SBE	7	그리고 당신의 명성은 심하게 과장됐다고 생각하겠소.
1030.SBE	8	좋은 하루 되세요.
1031.SBE	0	미스터 휘트니?
1031.SBE	1	오실지 궁금했소.
1031.SBE	2	오! 예, 예.
1031.SBE	3	그리 서두르진 마시오, 헤어 슈미트.
1031.SBE	4	아직 베오그라드가 아니오.
1032.SBE	0	같이 앉아도 될까요?
1032.SBE	1	물론이죠! 시가 한 대 하시겠습니까? 최고급 아바나요!
1032.SBE	2	아니요, 괜찮습니다.
1032.SBE	3	미국인들은 즐길 줄을 모르는군요.
1032.SBE	4	몸이 제대로 먹지 못하는데 어떻게 정신의 삶이 있겠소?
1032.SBE	5	프로일라인 볼프는 어떻습니까?
1032.SBE	6	오늘 저녁엔 그녀와 식사할 예정이오.
1032.SBE	7	말해 봐요, 아우구스트.
1032.SBE	8	당신처럼 정신적인 사람이 어쩌다 군수업자가 된 겁니까?
1032.SBE	9	당신이 이해하기엔 꽤 어려울 거요.
1032.SBE	10	당신과는 달리, 헤어 휘트니,
1032.SBE	11	날 움직이는 건 금만이 아니오.
1032.SBE	12	난 늘 조국의 더 큰 이익을 생각하오.
1032.SBE	13	세르비아 테러리스트 집단을 무장시키는 데 조국의 이익이 어디 있습니까?
1032.SBE	14	테러리스트라니? 놀랍군요.
1032.SBE	15	적어도 동조하는 척은 계속할 줄 알았소
1032.SBE	16	당신에게 돈을 대는 그 집단에 대해서 말이오.
1032.SBE	17	난 동조하지 않는다고 한 적 없습니다. 그들이 테러리스트라고 했을 뿐이오.
1032.SBE	18	그리고 내 질문엔 아직 답하지 않았소.
1032.SBE	19	내가 마지막으로 신문을 봤을 때 세르비아는 러시아, 프랑스와 동맹이었소.
1032.SBE	20	당신 질문, 나쁘지 않소.
1032.SBE	21	답은 당신이 직접 찾아보시오.
1033.SBE	0	제 열쇠를 당신이 갖고 있는 것 같군요.
1033.SBE	1	돌려받을 수 있을까요?
1033.SBE	2	오늘은 총 얘기 이쯤이면 됐어요.
1033.SBE	3	말해 봐요. 타일러를 죽인 게 임무의 일부였나요
1033.SBE	4	아니면 당신 독단이었나요?
1033.SBE	5	저, 무슨 말씀인지 모르겠어요.
1033.SBE	6	당신이 오스트리아 비밀경찰을 위해 일한다는 것도 모르나요?
1033.SBE	7	아니면 타일러를 당신이 죽였다는 것도 모르나요?
1033.SBE	8	하지만 제가 죽인 게 아니에요!
1033.SBE	9	그들은 타일러의 무기 거래를 망치라고 당신을 보냈어요.
1033.SBE	10	당신이 그를 죽이고 그가 갖고 있던 황금 알을 훔쳤어요.
1033.SBE	11	아니에요! 제가 아니에요! 전 누구도 죽여본 적 없어요! 맹세해요!
1033.SBE	12	뉴욕에서 타일러 휘트니를 한 번 만난 적이 있어요.
1033.SBE	13	역에서 그를 알아봤어요.
1033.SBE	14	열차가 출발하고 나서 와서 문을 두드렸어요.
1033.SBE	15	문이 열려 있어서 그냥 들어갔어요.
1033.SBE	16	안에는 피가 흥건했어요.
1033.SBE	17	그 알이요!
1033.SBE	18	창가 쪽 테이블 위에 놓여 있었어요.
1033.SBE	19	그건 가져갔지만, 죽이진 않았어요!
1033.SBE	20	당신이 타일러 휘트니라고 사칭하는 걸 처음 봤을 때...
1033.SBE	21	당신이 그를 죽인 줄 알았어요.
1033.SBE	22	안나, 조심해!
1034.SBE	0	움직이지 마!
1034.SBE	1	그 사람 놔줘요.
1034.SBE	2	빈이라고요? 전 지금 가야 해요.
1035.SBE	0	빈에서 내려버린 줄 알고 걱정했어요.
1035.SBE	1	빈에서요? 제가 왜요?
1035.SBE	2	모르겠어요. 그래도 당신을 보니 반갑군요.
1035.SBE	3	이 여정도 곧 끝나겠죠.
1035.SBE	4	그럼, 이제 아우구스트 슈미트는 어떻게 되죠?
1035.SBE	5	부다페스트에서 경찰이 기다리고 있다는 걸 알게 되겠죠.
1035.SBE	6	무기들은 발견되어 압수될 거예요.
1035.SBE	7	그렇군요. 임무는 훌륭히 끝냈네요. 아주 뿌듯하시겠어요.
1035.SBE	8	그 말을 할 입장은 아니잖아요.
1035.SBE	9	총 밀수가 당신이 말하는 명예로운 일인가요?
1035.SBE	10	그게 제 직업인가요?
1035.SBE	11	당신에겐 이게 게임 같군요. 편 가르기 말이에요.
1035.SBE	12	오늘은 보스니아인 편, 내일은 영국인 편이겠죠.
1035.SBE	13	타일러가 왜 죽었는지 알고 싶어요? 말해줄게요.
1035.SBE	14	천 년 동안 사람들은 발칸을 두고 서로 죽여 왔어요.
1035.SBE	15	미국인 한 명 때문에 멈출 일은 아니에요.
1035.SBE	16	우리 역사는 피로 이어진 사슬이에요.
1035.SBE	17	그 사슬은 먼 과거까지 이어져 우리를 옭아매고 있죠.
1035.SBE	18	그리고 그건 당신과는 상관없어요.
1035.SBE	19	타일러는 죽었어요. 되돌릴 수 없어요.
1035.SBE	20	당신도 같은 일을 당하기 전에 집으로 돌아가요.
1035.SBE	21	타일러는 제 친구였어요.
1035.SBE	22	그 말이 당신에겐 별 의미가 없을지 모르죠.
1035.SBE	23	하지만 나에겐, 친구가 도움을 청했는데 내가 너무 늦게 도착했다면,
1035.SBE	24	그걸 그냥 넘길 수는 없어요.
1035.SBE	25	가요. 제발.
1037.SBE	0	헤어 휘트니, 한잔하시죠.
1037.SBE	1	그게 여정을 좀 덜 길게 느끼게 해주오.
1037.SBE	2	감사합니다.
1037.SBE	3	내가 프로일라인 볼프를 오판했소.
1037.SBE	4	다른 설명이 없소.
1037.SBE	5	몇 번이고 자문하오. 내가 착각한 건가?
1037.SBE	6	환상인가? 낭만적인 망상인가?
1037.SBE	7	하지만 곧 그녀가 나를 보던 눈빛이 떠오르오.
1037.SBE	8	그 눈빛의 온기가.
1037.SBE	9	그리고 알게 되지. 내가 틀리지 않았다는 걸. 그녀가 변했소.
1037.SBE	10	글쎄요, 아우구스트. 그녀는 예술가잖아요.
1037.SBE	11	예술가.
1037.SBE	12	그래. 내가 뮌헨으로 돌아가면, 그녀가 나를 위해 연주할 거요.
1037.SBE	13	그녀는 내 집에서 연주할 거요.
1037.SBE	14	잔을 채워드리죠, 헤어 휘트니.
1037.SBE	15	적어도 당신만큼은 날 실망시키지 않았소.
1037.SBE	16	그래, 그래. 그녀는 나를 위해 연주할 거요.
1037.SBE	17	멋진 저녁이 될 거요.
1037.SBE	18	당신도 거기 오게 될 거요, 헤어 휘트니.
1037.SBE	19	크로노스와 오볼렌스키가, 우리 모두 한자리에 모일 거요
1037.SBE	20	거대한 황금빛 방에서. 그리고 그녀가 연주할 거요.
1037.SBE	21	그리고 우린 춤출 거요, 춤추고 또 춤출 거요...
1037.SBE	22	인생은 짧소, 여러분. 함께 춤춥시다.
1038.SBE	0	안나.
1038.SBE	1	정말 피곤해요. 제발 가게 해줘요.
1038A.SBE	0	왜 저를 따라오는 거죠?
1038A.SBE	1	하고 싶은 말이 정말 많아요.
1038A.SBE	2	그냥 제가 너무 피곤해서 그래요.
1038A.SBE	3	내가 얼마나 지쳤는지 당신은 상상도 못 해요.
1038A.SBE	4	아침에 이야기해요.
1038A.SBE	5	안녕히 주무세요.
1039.SBE	0	허리띠를 풀어!
1039.SBE	1	허리띠부터 먼저 풀었어도 됐잖아요.
1039.SBE	2	이제 곧 국경이에요. 열차를 멈춰야 해요!
1039.SBE	3	왜요?
1039.SBE	4	왜냐고요? 세르비아에 들어가면 우릴 죽일 거예요!
1039.SBE	5	그럼 국경 전에 열차를 세우면요?
1039.SBE	6	테러리스트들은 오스트리아 경찰에 붙잡힐 거예요.
1039.SBE	7	무기와 함께요.
1039.SBE	8	네.
1039.SBE	9	당신은 이용당하고 있어요. 아우구스트 슈미트도 마찬가지고요.
1039.SBE	10	이해가 안 돼요.
1039.SBE	11	그건 중요하지 않아요. 어서, 이걸 멈춥시다.
1040.SBE	0	허리띠를 풀어!
1040.SBE	1	허리띠부터 먼저 풀었어도 됐잖아요.
1040.SBE	2	이제 곧 국경이에요. 열차를 멈춰야 해요!
1040.SBE	3	왜요?
1040.SBE	4	왜냐고요? 세르비아에 들어가면 우릴 죽일 거예요!
1040.SBE	5	그럼 국경 전에 열차를 세우면요?
1040.SBE	6	테러리스트들은 오스트리아 경찰에 붙잡힐 거예요.
1040.SBE	7	무기와 함께요.
1040.SBE	8	네.
1040.SBE	9	당신은 이용당하고 있어요. 아우구스트 슈미트도 마찬가지고요.
1040.SBE	10	무슨 뜻이죠?
1040.SBE	11	독일과 오스트리아는 전쟁을 원해요.
1040.SBE	12	그들에게 필요한 건 사라예보 같은 도화선이 될 사건 하나예요.
1040.SBE	13	사라예보만으로는 부족했어요.
1040.SBE	14	하지만 세르비아 테러리스트의 손에서 기관총 상자가 적발된다면...
1040.SBE	15	그건 전쟁의 불씨가 될 수 있어요.
1040.SBE	16	안나, 당신 상관들이 그 무기 거래를 어떻게 알게 됐다고 생각해요?
1040.SBE	17	슈미트는 함정에 걸린 거예요. 독일은 이 거래가 성사되길 원했죠.
1040.SBE	18	그리고 그걸 크게 터뜨리길 바랐어요. 당신 손으로요.
1040.SBE	19	안나, 기다려!
1041.SBE	0	허리띠를 풀어!
1041.SBE	1	허리띠부터 먼저 풀었어도 됐잖아요.
1041.SBE	2	이제 곧 국경이에요. 열차를 멈춰야 해요!
1041.SBE	3	왜요?
1041.SBE	4	왜냐고요? 세르비아에 들어가면 우릴 죽일 거예요!
1041.SBE	5	죽는 건 당신이겠죠. 왜 나까지 죽이겠어요?
1041.SBE	6	맞아요.
1042.SBE	0	허리띠를 풀어!
1042.SBE	1	허리띠부터 먼저 풀었어도 됐잖아요.
1042.SBE	2	이제 곧 국경이에요. 열차를 멈춰야 해요!
1042.SBE	3	왜요?
1042.SBE	4	왜냐고요? 세르비아에 들어가면 우릴 죽일 거예요!
1042.SBE	5	죽는 건 당신이겠죠. 왜 나까지 죽이겠어요?
1043.SBE	0	이제 알겠군.
1043.SBE	1	이 열차를 납치해서
1043.SBE	2	값도 치르지 않고 내 물건을 챙길 수 있다고 생각하나.
1043.SBE	3	아우구스트, 한마디 하지.
1043.SBE	4	프로일라인 볼프는 첩자요.
1043.SBE	5	독일에 있는 당신 친구들이, 당신이 무기 밀수로 걸리도록 판을 짰소.
1043.SBE	6	프로일라인 볼프가 첩자라고? 나, 아우구스트 슈미트가 배신당했다고?
1043.SBE	7	그럴 리가!
1043.SBE	8	타일러 휘트니! 우린 다시 만나게 될 거요!
1043.SBE	9	아, 한 가지 더 있소.
1043.SBE	10	내 이름은 휘트니가 아니오. 캐스요. 로버트 캐스.
1043.SBE	11	뭐라고?
1043.SBE	12	제 이름은 로버트 캐스입니다.
1044.SBE	0	이제 알겠군.
1044.SBE	1	이 열차를 납치해서
1044.SBE	2	값도 치르지 않고 내 물건을 챙길 수 있다고 생각하나.
1044.SBE	3	잘 있어요, 아우구스트.
1044.SBE	4	타일러 휘트니! 우린 다시 만나게 될 거요!
1044.SBE	5	아, 한 가지 더 있소.
1044.SBE	6	내 이름은 휘트니가 아니오. 캐스요. 로버트 캐스.
1044.SBE	7	뭐라고?
1044.SBE	8	제 이름은 로버트 캐스입니다.
1046.SBE	0	계속 삽질해!
1046.SBE	1	뭐 하는 거야?
1046.SBE	2	미쳤어? 열차를 세워!
1046.SBE	3	당신이 내 친구를 쏘기 전에 내가 말했듯이,
1046.SBE	4	내 주머니엔 콘스탄티노플행 표가 있고, 난 그걸 쓸 생각이야.
1046.SBE	5	콘스탄티노플? 베오그라드도 못 벗어날 거야.
1046.SBE	6	난 베오그라드에 설 생각 없어.
1046.SBE	7	이 열차엔 30명이 타고 있어.
1046.SBE	8	그 사람들 목숨까지 걸 작정이야?
1046.SBE	9	이미 충분히 많은 사람이 죽지 않았나?
1059.SBE	0	이상해. 열차가 안 서.
1101.SBE	0	안녕하세요.
1101.SBE	1	절 부른 분이 '각하'라는 분이라던데요.
1101.SBE	2	그게 설마 당신은 아니겠죠?
1102.SBE	0	정말 뜻밖의 영광이군요, 미스터 로버트 캐스.
1102.SBE	1	보통은 날 타일러 휘트니라고 부르죠.
1102.SBE	2	자신의 이름을 고를 때는 신중해야 합니다.
1102.SBE	3	이름에는 힘이 있습니다.
1102.SBE	4	가장 원시적인 문화권조차 이 사실을 알았지요.
1102.SBE	5	물론 당신이 원한다면 그대로 부르겠습니다.
